probability,Almost Certainly,Highly Likely,Very Good Chance,Likely,Probable,Probably,We Believe,Better Than Even,About Even,We Doubt,Probably Not,Improbable,Unlikely,Little Chance,Chances Are Slight,Highly Unlikely,Almost No Chance
0,0,0,0,0,0,0,0,0,0,2.17,0,17.39,4.35,4.35,0,17.39,56.52
5,0,0,0,0,0,0,2.17,2.17,0,8.7,0,13.04,6.52,19.57,23.91,45.65,32.61
10,0,0,0,0,0,0,0,0,0,13.04,8.7,17.39,21.74,19.57,34.78,15.22,6.52
15,0,2.17,0,0,0,0,0,0,0,6.52,6.52,6.52,10.87,21.74,17.39,10.87,2.17
20,0,0,0,0,0,0,0,0,0,8.7,15.22,15.22,15.22,23.91,6.52,4.35,0
25,0,0,0,0,0,0,0,0,0,19.57,21.74,6.52,15.22,8.7,4.35,2.17,0
30,0,0,0,0,0,0,0,0,0,17.39,17.39,8.7,13.04,0,8.7,2.17,0
35,0,0,0,0,0,0,0,0,0,2.17,4.35,4.35,13.04,0,2.17,0,0
40,0,0,0,2.17,0,0,0,0,2.17,10.87,17.39,2.17,0,0,2.17,0,0
45,0,0,0,0,0,2.17,2.17,0,10.87,2.17,6.52,6.52,0,0,0,0,0
50,0,0,0,0,8.7,4.35,15.22,19.57,86.96,0,0,2.17,0,0,0,0,0
55,0,0,0,0,0,4.35,2.17,19.57,0,0,0,0,0,0,0,0,0
60,2.17,0,0,10.87,13.04,13.04,13.04,43.48,0,4.35,0,0,0,0,0,0,0
65,0,2.17,2.17,19.57,6.52,10.87,10.87,8.7,0,0,0,0,0,0,0,0,0
70,0,2.17,10.87,21.74,23.91,8.7,8.7,0,0,0,0,0,0,0,0,0,0
75,0,2.17,26.09,21.74,21.74,26.09,10.87,0,0,0,0,0,0,0,0,0,0
80,4.35,17.39,30.43,8.7,13.04,17.39,17.39,4.35,0,0,0,0,0,0,0,0,0
85,13.04,19.57,15.22,6.52,6.52,6.52,8.7,0,0,0,0,0,0,0,0,0,0
90,15.22,26.09,15.22,8.7,6.52,6.52,4.35,0,0,0,0,0,0,0,0,2.17,0
95,65.22,28.26,0,0,0,0,2.17,2.17,0,2.17,0,0,0,0,0,0,2.17
100,0,0,0,0,0,0,2.17,0,0,2.17,2.17,0,0,2.17,0,0,0
